,Incident,Location,Reported Date,Occured Date,Comments,Disposition,UCPDI#
302,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1456549200,,,,,,
303,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1456462800,,,,,,
304,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1456376400,,,,,,
305,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1456290000,,,,,,
306,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1456203600,,,,,,
307,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1456117200,,,,,,
308,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1456030800,,,,,,
309,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1455944400,,,,,,
310,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1455858000,,,,,,
311,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1455771600,,,,,,
312,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1455685200,,,,,,
313,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1455598800,,,,,,
314,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1455512400,,,,,,
315,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1455426000,,,,,,
316,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1455339600,,,,,,
317,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1455253200,,,,,,
318,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1455166800,,,,,,
319,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1455080400,,,,,,
320,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1454994000,,,,,,
321,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1454907600,,,,,,
322,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1454821200,,,,,,
323,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1454734800,,,,,,
324,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1454648400,,,,,,
325,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1454562000,,,,,,
326,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1454475600,,,,,,
327,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1454389200,,,,,,
328,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1454302800,,,,,,
329,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1454216400,,,,,,
